Name,Path,Position,Is Active,Url Key,Description,Image,Page Title,Meta Keywords,Meta Description,Include In Menu,Display Mode,CMS Block,Is Anchor,Availabe Sort By,Default Sort By,Page Layout,Custom Layout Update
Letterhead,databusinesssystems.com/print-4cp.com,8,Yes,,"Letterhead creates a strong impression in business correspondence, whether for formal letters outside the company or internal memos. It's a way to tie your messages to you and your company, which shows attention to detail and maintains your brand identity.
The most common order option is on an 8.5"" x 11"", 70# Uncoated offset smooth text paper printed in full color on the front (4/0) and is not coated.
<b>For additional sizes and options, please call customer service at 800.778.6247</b>",,Letterhead,,,Yes,Products only,,Yes,,,No layout updates,
Note Pads,databusinesssystems.com/print-4cp.com,9,Yes,,"Notepads are a popular way to keep your company identity in front of customers. They are also a great tool for keeping your message in front of an audience. Consider Notepads at your next seminar, conference, or any place your audience needs to take notes.
The most common option is 5.5"" x 8.5"" on 70# Uncoated Offset Smooth Text weight paper. They are commonly printed in full color on the front (4/0) and are padded in 50s. Coating is unavailable for this product.
<b>For additional sizes and options, please call customer service at 800.778.6247</b>",,Note Pads,,,Yes,Products only,,Yes,,,No layout updates,
Post Cards,databusinesssystems.com/print-4cp.com,10,Yes,,"Postcards are one of the most popular marketing tools. Whether mailed or left on display, the broad range of size choices caters to many marketing messages. From 4.25"" x 5.5"" to 8.5"" x 11"", Postcards are available in various sizes to fit your budget, convey your message, and command attention. When mailed, they help your message reach a target audience. Postcards are also one of the most popular marketing items displayed in a retail environment and make great marketing takeaways with product or upcoming event information.
The most common size is 6"" x 4"", printed on a Gloss Cover stock. Almost always, Postcards are printed in full color on both sides (4/4) or full color on the front and black on back (4/1) and coated UV 1 Side.
<b>For additional sizes and options, please call customer service at 800.778.6247</b>",,Post Cards,,,Yes,Products only,,Yes,,,No layout updates,
Presentation Folders,databusinesssystems.com/print-4cp.com,11,Yes,,"Presentation Folders are a tool designed to package and organize several other pieces of printing. In addition to the standard folder design, Presentation Folders have 1 or 2 pockets on the inside to hold your materials. They also offer convenient corner slots on the interior pockets to make it easy to include a business card.
The most common order options are 9"" x 12"" finished (folded) folders with 2 pockets and a business card slit on the right pocket. They are printed on 14 Pt. Gloss Cover stock in full color on 1 side (4/0) and are coated 2 Sides. 
<b>For additional sizes and options, please call customer service at 800.778.6247</b>",,Presentation Folders,,,Yes,Products only,,Yes,,,No layout updates,
Attorney Disbursements,databusinesssystems.com/one-write.com,2,Yes,Attorney-Disbursements,"<b>Attorney Disbursement Package System:</b>
<b>Package System Includes:</b>
1 Folding Board, 300 Checks, 50 Journals & 500 Envelopes. Checks are available in Blue, Green, Gold or Rose. 
Replacement Checks, Journals, & Envelopes also available seperately.
<b>Fax the imprint information to (973) 252-1885. Reference your order number and start number. A proof will be provided prior to printing.</b>",,Attorney Disbursements,Attorney Disbursements,,Yes,Products only,,Yes,,,No layout updates,
Attorney Trust System,databusinesssystems.com/one-write.com,3,Yes,Attorney-Trust-System,"<b>Attorney Trust Package System:</b>
<b>Package System Includes:</b>
1 Folding Board, 300 Checks, 50 Trust Journals, 50 Client Ledgers & 500 Envelopes. Checks are available in Blue, Green, Gold or Rose. 
Replacement Checks, Journals, Ledgers & Envelopes also available seperately.
<b>Fax the imprint information to (973) 252-1885. Reference your order number and start number. A proof will be provided prior to printing.</b>",,Attorney Trust System,Attorney Trust System,,Yes,Products only,,Yes,,,No layout updates,
Cash Receipt System,databusinesssystems.com/one-write.com,4,Yes,Cash-Receipt-System,"An easy way to keep track of checks and cash that is received, while maintaining accurate control of Accounts Receivable. The receipts are imprinted with the company heading and are consecutively numbered. 
<b>Fax imprint information for heading to (973) 252-1885 and reference your order number.<b/>",,Cash Receipt System,Cash Receipt System,,Yes,Products only,,Yes,,,No layout updates,
Combination Payroll / Disbursements,databusinesssystems.com/one-write.com,5,Yes,Combination-Payroll-Disbursements,"<b>Payroll & Disbursement Check System:</b>
Both the PD14 & PD18 Package Systems include the following: 300 Single Carbon Band Checks, 25 Combination Journals, 25 Compensation Records, 200 Envelopes & 1 Folding Board. 
Available in Blue, Gold, Green or Rose. 
After placing your order, please fax a sample Check or specification sheet to (973) 252-1885. Reference your order number and the starting number you would like to begin with. ",,Combination Payroll / Disbursements,Combination Payroll / Disbursements,,Yes,Products only,,Yes,,,No layout updates,
Deposit Tickets,databusinesssystems.com/one-write.com,6,Yes,Deposit-Tickets,"<b>Deposit Tickets:</b>
Fully compatible with financial institutions new ""Image Character Recognition"" (ICR) equipment. DBS deposit tickets, in addition to meeting ICR equipment standards, exceeds ANSI and other financial industry requirements. 
Available in either Duplicate or Triplicate. 
Fax a sample deposit ticket or a Bank Specification Sheet to: (973) 252-1885. 
Please reference your order number",,Deposit Tickets,Deposit Tickets,,Yes,Products only,,Yes,,,No layout updates,
Disbursement System- CD170 Personal,databusinesssystems.com/one-write.com,7,Yes,Disbursement-System-CD170-Personal,"Available as a package startup system or with individual components. 
<b>The startup package system includes:</b>
300 Single Carbon Band Checks, 25 Journals, 200 Envelopes & 1 Folding Board. 
<b>Fax either a sample check or bank specification sheet to (973) 252-1885. Reference your order number and start number. A proof will be provided prior to printing.</b>",,Disbursement System- CD170 Personal,Disbursement System- CD170 Personal,,Yes,Products only,,Yes,,,No layout updates,
Disbursement System-D11,databusinesssystems.com/one-write.com,8,Yes,Disbursement-System-D11,"Available as a package startup system or with individual components. 
<b>The startup package system includes:</b>
300 Single Carbon Band Checks, 25 Journals, 200 Envelopes & 1 Folding Board. 
<b>Fax either a sample check or bank specification sheet to (973) 252-1885. Reference your order number and start number. 
A proof will be provided prior to printing.</b>",,Disbursement System-D11,Disbursement System-D11,,Yes,Products only,,Yes,,,No layout updates,
Disbursement System-D5,databusinesssystems.com/one-write.com,9,Yes,Disbursement-System-D5,"Available as a package startup system or with individual components. This is a Safeguard compatible Check system.
<b>The startup package system includes:</b>
300 Single Carbon Band Checks, 25 Journals, 200 Envelopes & 1 Folding Board. 
Fax either a sample check or bank specification sheet to (973) 252-1885. Reference your order number and start number. A proof will be provided prior to printing.",,Disbursement System-D5,Disbursement System-D5,,Yes,Products only,,Yes,,,No layout updates,
Disbursement System-D9,databusinesssystems.com/one-write.com,10,Yes,Disbursement-System-D9,"Available as a package startup system or with individual components. This is a Safeguard compatible Check system.
<b>The startup package system includes:</b>
300 Single Carbon Band Checks, 25 Journals, 200 Envelopes & 1 Folding Board. 
<b>Fax either a sample check or bank specification sheet to (973) 252-1885. Reference your order number and start number. A proof will be provided prior to printing.</b>",,Disbursement System-D9,Disbursement System-D9,,Yes,Products only,,Yes,,,No layout updates,
Disbursement System-FP190,databusinesssystems.com/one-write.com,11,Yes,Disbursement-System-FP190,"Available as a package startup system or with individual components. This is a McBee compatible Check system.
<b>The startup package system includes:</b>
300 Single Carbon Band Checks, 25 Journals, 200 Envelopes & 1 Folding Board. 
<b>Fax either a sample check or bank specification sheet to (973) 252-1885. Reference your order number and start number. A proof will be provided prior to printing.</b>",,Disbursement System-FP190,Disbursement System-FP190,,Yes,Products only,,Yes,,,No layout updates,
Gift Certificate,databusinesssystems.com/one-write.com,12,Yes,Gift-Certificate,"<b>One-Write Gift Certificate System:</b>
For birthdays, anniversaries, weddings, graduations, congratulations or a simple gesture of thanks...the popularity of gift certificates is at an all-time high. Millions of consumers buy them as the ideal gift for any occasion.
Convenience with a Customized Style, these Gift Certificates are printed on rich-looking marbled paper in four color options - burgundy, teal, blue and green. 
Each system includes its own color-coordinated binder as well as corresponding registers and envelopes. Personalize them with your name, address, and phone number. 
<b>Package includes:</b> 140 Imprinted Gift Certificates, 15 Registers, 140 Envelopes and 1 Folding Pegboard.
After placing your order, please fax a sample of the heading you would like printed. Our fax number is: (973)252-1885.-Please be sure to reference your order number. A proof will be provided prior to printing.",,Gift Certificate,Gift Certificate,,Yes,Products only,,Yes,,,No layout updates,
New Matter Index Set,databusinesssystems.com/one-write.com,13,Yes,,"<b>New Matter Index Set</b>
5"" x 5"", 100 sets per package. 4 Part Snap Set
An effective manual and paper based system for getting files opened, setting up a manual conflicts check, as well as setting up a manual client database and reminder system.
<b>Part 1</b> - Matter File Folder, gummed for atttaching to matter file & client ledger. Pre-perforated along two places to remove and place it on your file so you can name the client's file by affixing this strip.  
<b>Part 2</b> - Accounting 
Keep accounting information as to what matters are opened and closed. 
<b>Part 3</b> - Tickler
<b>Part 4</b> - Master Alpha Index (Card Stock)
These cards are placed in a 3x5 card box for the appropriate dates and are pulled and placed on the responsible lawyer's desk so the responsible lawyer can review the cards to be sure all the matters are being handled in a proper fashion.  
",,New Matter Index Set,,,Yes,Products only,,Yes,,,No layout updates,
Payroll,databusinesssystems.com/one-write.com,14,Yes,Payroll,"<b>Payroll System:</b>
Our Payroll Package System includes: 
300 Top Write Single Carbon Band Checks, 25 Payroll Journals, 25 Compensation Records, 200 Envelopes & 1 Folding Board. 
Available in Blue, Gold, Green or Rose.
After placing your order, please fax a sample Check or specification sheet to (973) 252-1885. Reference your order number and the starting number you would like to begin with. ",,Payroll,Payroll,,Yes,Products only,,Yes,,,No layout updates,
Property Management System,databusinesssystems.com/one-write.com,15,Yes,Property-Management-System,"<b>Property Management System:</b>
An easy way to keep record of requests and actual work done within a Property.   
<b>Package System Includes:</b>
250-3 Part Maintenance Request/Work Orders,  
1 Folding Pegboard, 50 Maintenance Record Ledger Cards & 50 Maintenance Record Journals.
<b>Replacement Ledgers, Journals & Work Orders also available seperately.</b>
",,Property Management System,Property Management System,,Yes,Products only,,Yes,,,No layout updates,
Rental Receipt System,databusinesssystems.com/one-write.com,16,Yes,Rental-Receipt-System,"<b>Rent Receipt System:</b>
An easy way to keep track of Rental Receipts while maintaining accurate control of Account Receivable. 
<b>Package System Includes:</b>
625-2 Part Rental Receipts  imprinted with the 
company heading and consecutively numbered. 
1 Folding Pegboard
50 Tenant Ledger Cards
50 Rent Receipt Journals.
<b>Replacement Ledgers, Journals & Receipts also available separately.</b>
<b>Fax the imprint information to (973) 252-1885. Reference your order number and start number. 
A proof will be provide prior to printing.</b>",,Rental Receipt System,Rental Receipt System,,Yes,Products only,,Yes,,,No layout updates,
Appointment Reminder Card,databusinesssystems.com/medical-forms.com,2,Yes,Appointment-Reminder-Card,"<b>Remind patients of upcoming appointments.</b> 
The 1 1/8"" yellow highlighted circle peels off to be placed on a calendar or in an appointment book. It will be printed in yellow unless otherwise specified.
Available in any of our 20 standard ink colors. Please fax information required to 973-252-1885 and reference your order number. A Proof will be  provided prior to printing.",,Appointment Reminder Card,Appointment Reminder Card,,Yes,Products only,,Yes,,,No layout updates,
Appointment Reminder Card-Dental,databusinesssystems.com/medical-forms.com,3,Yes,Appointment-Reminder-Card-Dental,"<b>Remind patients of upcoming appointments.</b> 
The peel off tooth can be placed on a calendar or in an appointment book. 
Please fax information required to 973-252-1885 and reference your order number. A Proof will be  provided prior to printing.",,Appointment Reminder Card-Dental,Appointment Reminder Card-Dental,,Yes,Products only,,Yes,,,No layout updates,
Blank Statement / Invoice Paper,databusinesssystems.com/medical-forms.com,4,Yes,Blank-Statement-Invoice-Paper,"<b>Blank Statement/Invoice Paper</b>
<b>Size:</b> 8.5"" x 11""
1 Part  20# Laser / Deskjet Paper.
<b>Available options:</b>
<b>1) White:</b>
Choice of 3 different clean perforation positions:. 3.00"", 3 1/2"" or 3 2/3"" from the top for patient remittance.
<b>2) Colors:</b>
Choice of 3 different clean perforation positions:. 3.0"", 3 1/2"" or 3 2/3"" from the top for patient remittance and 4 Different paper colors(Canary, Blue, Green or Pink)
<b>3) Pre-printed with optional M/C and VISA payment information at the top with change of address backer.</b>
The Credit Card Information is pre-printed at the top with change of address information on the back. Choose from 4 different Ink Colors. <br><b>Only available with a 3.5"" perforation position</b> 
**Also available with Discover and AMEX Card Payment Options. Please call for customer service at 1.800.778.6247 for additional informtion.
",,Blank Statement / Invoice Paper,Blank Statement / Invoice Paper,,Yes,Products only,,Yes,,,No layout updates,
Clinical Data Forms,databusinesssystems.com/medical-forms.com,5,Yes,Clinical-Data-Forms,"<b>(1) Medication List:</b>
Prints 2 sides in red ink with 2 hole punches for insertion into patient file.
<b>(2) Immunization Record:</b>
Prints 1 side in burgundy with 2 hole punches for insertion into patient file.
<b> (3) Progress Notes:</b>
Prints 2 sides in blue ink with 2 hole punches for insertion into patient file.
<b>(4) Problem List:</b>
Prints 2 sides in blue ink with 2 hole punches for insertion into patient file.
<b> (5) Progress Notes:</b>
Prints 2 sides in black ink with 2 hole punches for insertion into patient file.
<b> (6) Clinical Data Forms</b>
Prints 2 sides in green ink with 2 hole punches for insertion into patient file.
<b> (7) Continuation Forms</b>
Prints 2 sides in green ink. Available with or without  2 hole punches for insertion into patient file.
",,Clinical Data Forms,Clinical Data Forms,,Yes,Products only,,Yes,,,No layout updates,
Clinical Data Forms- Evaluation & Management,databusinesssystems.com/medical-forms.com,6,Yes,Clinical-Data-Forms-Evaluation-Management,"<b>(1)Physical Exam Booklet:</b>
Prints four sides and folded. 
Designed to fully document the examination portion of  an appointment. Covers general multi-system examinations.
<b>(2) Ear, Nose & Throat Examination:</b>
Prints 2 sides
<b>(3) Health History:</b>
Prints 2 sides
<b>(4) Patient Information:</b>
Prints 1 side",,Clinical Data Forms- Evaluation & Management,Clinical Data Forms- Evaluation & Management,,Yes,Products only,,Yes,,,No layout updates,
Clinical Data Forms-Complete Medical System,databusinesssystems.com/medical-forms.com,7,Yes,Clinical-Data-Forms-Complete-Medical-System,"<b>Complete Medical Chart :</b>
New preassembled medical charting system. You'll never have have to spend valuable staff time putting together the perfect chart again! This chart contains all the essential forms that are designed to keep information accurate and consistent for each patient. Each form is color coded for quick and easy access.
<b>Each set includes the following forms:</b>
<b>Welcome Form</b>-Welcome patients and gather patient information. Designed to make phone numbers and insurance information visible and easily accessible to staff.
<b>Health History</b>-Used to gather detailed patient and family medical history. The Yes/No format makes it easy for patients to complete.
<b>History/Physical</b>-Provides a record of the patient's physical examination with a space for the physician/clinician to note pertinent health or family history, assessment, diagnosis and care plan.
<b>Problem List</b>-Provides a comprehensive overview of a patients medical status on one document.
<b>Continuation Sheet</b>-For recording patient visits, phone calls and other aspects of patient care.
<b>Medication List</b> -A vital record of previous and current patient medications on one handy form for quick reference.
<b>All forms in the set are also available seperately.<b>
",,Clinical Data Forms-Complete Medical System,Clinical Data Forms-Complete Medical System,,Yes,Products only,,Yes,,,No layout updates,
Clinical Data Forms-Welcome / Patient Information,databusinesssystems.com/medical-forms.com,8,Yes,Clinical-Data-Forms-Welcome-Patient-Information,"<b>(1) Welcome /Patient Information:</b>
Prints 2 sides with areas for: 
1) Personal Information 
2) Responsible Party 
3) Telephone 
4) Insurance Information 
5) Authorization and Release 
6) Financial Arrangements.
<b>(2) Welcome /Patient Sign In Register :</b>
Prints 1 side with 44 rows for Patient's Name and Time of appointment
<b>(3) Welcome /Health History and Review of Systems: </b>
Prints 2 Sides with two hole punches at the top for insertion into patient chart. Detailed areas for:
1) History of Present Illness 
2) Medical History
3) Social History
4) Family Medical History
5) Review Of Systems
6) Authorization & Release
<b>(4) Patient Information</b>
Prints 1 Side with areas for:
1) Patient Vital Information
2) Responsible Party Info.
3) Insurance Information
4) Authorization & Release 
",,Clinical Data Forms-Welcome / Patient Information,Clinical Data Forms-Welcome / Patient Information,,Yes,Products only,,Yes,,,No layout updates,
Custom,databusinesssystems.com/medical-forms.com,9,Yes,Custom,Custom Printed Products,,Custom,Custom,,Yes,Products only,,Yes,,,No layout updates,
Dental Bite Plate X-Ray Envelope,databusinesssystems.com/medical-forms.com,10,Yes,Dental-Bite-Plate-X-Ray-Envelope,"<b>Bite Plate X-Ray Envelope</b>
Dental x-ray envelope to store bite plates.
Printed in black ink with patient information and Dental Radiograph Diagram.
White 28#
Overall size 2-1/4"" H x 3-1/2""  
500/box. 
",,Dental Bite Plate X-Ray Envelope,Dental Bite Plate X-Ray Envelope,,Yes,Products only,,Yes,,,No layout updates,
Dental Charting System,databusinesssystems.com/medical-forms.com,11,Yes,Dental-Charting-System,"<b>Pre-assembled Dental System makes your practice more efficient!</b> Our popular, preassembled chart contains all the necessary forms  a dental office needs, and costs less than purchasing each seperately.
Each preassembled chart includes:
<b>Durable 11 PT. pocket folder</b> with a 2"" bonded fastener; a file divider with a twin prong fastener; and a 5 ml poly pocket 8 3/4""W x 5 1/2""H
<b>Patient Registration</b>- gathers complete personal, billing and insurance information.
<b>Recall Examination</b>- updates health information, exam history, x-ray history, hygiene instructions and more at subsequent visits.
<b>Progress Notes</b>-columns record tooth, anesthetic given and treatment documentation. 
<b>Health History Update</b>- documents changes in health or medication.
<b>Correspondence Log</b>- tracks corrrespondence sent or received by the office.
<b>Clinical Examination</b>- documents patient's first visit, including chief complaint and existing or previous condition.
<b>Treatment Plan with Chart</b>-records exam on a diagram with additional space to document treatment plans and completion dates.
<b>Health History</b>- details medical and dental condition questions, previous dental treatments and more.
<b>All forms in the set are also available seperately. </b>
",,Dental Charting System,Dental Charting System,,Yes,Products only,,Yes,,,No layout updates,
Dental Referral Pads,databusinesssystems.com/medical-forms.com,12,Yes,,"<b>Dental Referral Pads-</b>
Given out to other medical offices and used for referral 
for dental services at your practice.
*8.5"" x 5.5"", 1 Part 20# White or Colored Bond,  
*Padded in 50s, prints in black ink.
*Available in a choice of White or 6 different paper colors:
Blue, Cream, Grey, Green, Pink & Salmon 
Completely customized at no extra charge. 
A proof is provided prior to printing.",,Dental Referral Pads,,,Yes,Products only,,Yes,,,No layout updates,
Dental- Large X-Ray Envelope,databusinesssystems.com/medical-forms.com,13,Yes,Dental-Large-X-Ray-Envelope,"<b>Large X-Ray Envelope:</b>
6.5"" X 13 3/4"", Brown Kraft Envelope.
Available blank or imprinted in black ink.  
<b>After placing your order, please fax imprint information to 973-252-1885. Make sure to reference your order number</b>",,Dental- Large X-Ray Envelope,Dental- Large X-Ray Envelope,,Yes,Products only,,Yes,,,No layout updates,
Department Receipt Books,databusinesssystems.com/medical-forms.com,14,Yes,Department-Receipt-Books,"<b>Department Receipt Books:</b>
Used to facilitate the tracking of patient's payments, these 3 part receipts can be completely customized to your specifications. 
They are available either with 3 or 4 receipts per page, print in black ink and are spiral bound with a heavy duty back and cover. For added security, each receipt is consecutively numbered. 
<b>3 Receipts Per Page:</b> 
150 Receipts per book 
(Receipt Size: 3 1/2"" x 6 1/2"")
<b>4 Receipts Per Page:</b> 
200 Receipts per book 
(Receipt Size: 2 5/8"" x 6 1/2"")
 
Fax information to be printed on the receipt to (973)252-1885 and reference our order number. 
A Proof will be provided prior to printing.",,Department Receipt Books,Department Receipt Books,,Yes,Products only,,Yes,,,No layout updates,
Durable Medical Equipment Claims,databusinesssystems.com/medical-forms.com,15,Yes,Durable-Medical-Equipment-Claims,"<b>Durable Medical Equipment Claims:</b>
These forms serve as a vehicle for a physician or a medical provider to authorize a patient to obtain certain ""Durable Medical Equipment"" that will be paid by Medicare. 
The size is 9.5"" x 11"" Continuous Feed and are  a two part carbonless form, printed on both sides in black ink.
",,Durable Medical Equipment Claims,Durable Medical Equipment Claims,,Yes,Products only,,Yes,,,No layout updates,
Envelopes- Claim Envelope  CMS1500 Large,databusinesssystems.com/medical-forms.com,16,Yes,Envelopes-Claim-Envelope-CMS1500-Large,"<b>CMS1500 Large Claim Envelope:</b>
Size: 9"" X 12 1/2"", Self Seal
The Large CMS1500 Envelope holds up to 50 unfolded claims for faster processing time. It is Imprinted with ""First Class Mail""& ""Insurance Claim Forms Enclosed"" on the face of envelope for easy identification. 
Available blank or imprinted with practice name and address in top left corner in black ink. 
For imprinting of heading please fax information to (973)252-1885 and reference your order number. A Proof will be provided prior to printing.",,Envelopes- Claim Envelope  CMS1500 Large,Envelopes- Claim Envelope  CMS1500 Large,,Yes,Products only,,Yes,,,No layout updates,
Envelopes-Claim Envelope - ADA,databusinesssystems.com/medical-forms.com,17,Yes,Envelopes-Claim-Envelope-ADA,"<b>#10 Single Window Self Seal Dental Claim Envelope.</b> 
Available  imprinted or blank - Heading Imprinted in Black Ink. (Please fax imprint information to 973-252-1885)",,Envelopes-Claim Envelope - ADA,Envelopes-Claim Envelope - ADA,,Yes,Products only,,Yes,,,No layout updates,
Envelopes-Claim Envelope UB04 Jumbo,databusinesssystems.com/medical-forms.com,18,Yes,Envelopes-Claim-Envelope-UB04-Jumbo,"<b>UB04 Large Claim Envelope:</b>
Size: 9"" X 12 1/2"", Self Seal
The Large UB04 Envelope holds up to 50 unfolded claims for faster processing time. It is Imprinted with ""First Class Mail""& ""Insurance Claim Forms Enclosed"" on the face of envelope for easy identification.
Available blank or imprinted with Hospital name and address in top left corner in black ink.
For imprinting of heading please fax information to (973)252-1885 and reference your order number. A Proof will be provided prior to printing.
",,Envelopes-Claim Envelope UB04 Jumbo,Envelopes-Claim Envelope UB04 Jumbo,,Yes,Products only,,Yes,,,No layout updates,
Envelopes-Claim Envelopes CMS1500 Small,databusinesssystems.com/medical-forms.com,19,Yes,Envelopes-Claim-Envelopes-CMS1500-Small,"<b>#10 Small Claim Envelopes:</b>
The Traditional #10 Claim Envelope (4 1/8"" x 9 1/2"")  holds up to 12 Claims. 
Window Size is: 1 1/8"" x 4 1/2"". It is positioned 4"" from the left and 1 3/8"" from the top.Choose regular gum seal or self seal style. 
Available blank or imprinted with practice name and address in top left corner in either black or blue ink. 
<b>For imprinting of heading please fax information to (973)252-1885 and reference your order number and ink color. 
A Proof will be provided prior to printing.</b>",,Envelopes-Claim Envelopes CMS1500 Small,Envelopes-Claim Envelopes CMS1500 Small,,Yes,Products only,,Yes,,,No layout updates,
Envelopes: Computer Statement  / Invoices,databusinesssystems.com/medical-forms.com,20,Yes,Envelopes-Computer-Statement-Invoices,"<b>#10 Self Seal Single Window Envelope with pre-inserted return envelope.</b>
 
Fits a Computerized 8.5"" X 11"" Statement / Invoice. 
The outgoing Envelope is White. The return envelopes are available in Blue, Canary, Green, Grey, Ivory and White. Both outgoing and return envelope print in black ink. 
Fax Heading information to (973)252-1885. A proof will be provided before printing.
",,Envelopes: Computer Statement  / Invoices,Envelopes: Computer Statement  / Invoices,,Yes,Products only,,Yes,,,No layout updates,
Filing Systems - Stock Imprinted Jackets,databusinesssystems.com/medical-forms.com,21,Yes,Filing-Systems-Stock-Imprinted-Jackets,"<b>Stock Imprinted X-Ray Jackets</b>
<br>
<b>Size: 18 1/4 x 14 1/2 </b>
Printed on a Manilla 11pt. 
",,Filing Systems - Stock Imprinted Jackets,Filing Systems - Stock Imprinted Jackets,,Yes,Products only,,Yes,,,No layout updates,
Filing Systems- Blank X-Ray Jackets,databusinesssystems.com/medical-forms.com,22,Yes,Filing-Systems-Blank-X-Ray-Jackets,"<b>Blank X-Ray Jackets</b>
<br>
<b>Available in the sizes indicated with or without a Report Pocket </b>
Printed on a Manilla 11pt. 
",,Filing Systems- Blank X-Ray Jackets,Filing Systems- Blank X-Ray Jackets,,Yes,Products only,,Yes,,,No layout updates,
Filing Systems-Colors 11 PT.,databusinesssystems.com/medical-forms.com,23,Yes,Filing-Systems-Colors-11-PT,"<b>11 pt. 2-Ply End-Tab Folders  
Available with 0, 1 or 2 heat bonded fasteners.<br>
Choose from 12 Different Colors.</b>
Overall Size 9-1/2"" H x 12-1/4"" W. 
Front Size 9-1/2"" H x 11-3/4"" W. 
Undercut to 11-3/8"" W. 
No Fasteners- Packed 100/Box 500/Ctn.
With Fasteners -Packed 50/Box 250/Ctn.</b>
<b>Smead Compatible</b>
",,Filing Systems-Colors 11 PT.,Filing Systems-Colors 11 PT.,,Yes,Products only,,Yes,,,No layout updates,
Filing Systems-Manilla 11 PT.,databusinesssystems.com/medical-forms.com,24,Yes,Filing-Systems-Manilla-11-PT,"<b>11 pt. 2-Ply End-Tab Folders  
Available with 0, 1 or 2 heat bonded fasteners</b>
Overall Size 9-1/2"" H x 12-1/4"" W. 
Front Size 9-1/2"" H x 11-3/4"" W. 
Undercut to 11-3/8"" W. 
No fasteners- Packed 100/Box 500/Ctn.
With Fasteners -Packed 50/Box 250/Ctn.</b>
<b>Select from Smead, Jeter or Barkley Compatible
  
",,Filing Systems-Manilla 11 PT.,Filing Systems-Manilla 11 PT.,,Yes,Products only,,Yes,,,No layout updates,
Filing Systems-X-Ray Category Insert Jackets,databusinesssystems.com/medical-forms.com,25,Yes,Filing-Systems-X-Ray-Category-Insert-Jackets,"<b>X-Ray Category Insert Jackets</b>
<br>
<b>20 diffferent  categories available. </b>
Printed on a Manilla 11pt. 
Size:14 1/4"" x 17 1/2""
<b>Available opening on either end as indicated below</b>.",,Filing Systems-X-Ray Category Insert Jackets,Filing Systems-X-Ray Category Insert Jackets,,Yes,Products only,,Yes,,,No layout updates,
Filing Systems-X-Ray Down Size Insert Jackets,databusinesssystems.com/medical-forms.com,26,Yes,Filing-Systems-X-Ray-Down-Size-Insert-Jackets,"<b>X-Ray Down Size Insert Jackets</b>
<br>
<b>4 diffferent  categories available. </b>
Printed on a Manilla 11pt. 
Size:10 1/2"" x 12 1/2""
<b>Available opening on either end as indicated below</b>.",,Filing Systems-X-Ray Down Size Insert Jackets,Filing Systems-X-Ray Down Size Insert Jackets,,Yes,Products only,,Yes,,,No layout updates,
Generic One-Write Route Slip,databusinesssystems.com/medical-forms.com,27,Yes,Generic-One-Write-Route-Slip,"<b>Generic One-Write Route Slip:</b>
Designed for a small practice that would like the efficiency of a One-Write System, but would prefer a more generic format where they can manually write their own codes. 
The Route Slip comes as a 3 part and is pre-numbered. No practice information or coding is printed.
<b>Package includes:</b> 
1 Folding Board
50 Daily Summary Sheets
250 Route Slips",,Generic One-Write Route Slip,Generic One-Write Route Slip,,Yes,Products only,,Yes,,,No layout updates,
HIPAA - Amendment of Health Information,databusinesssystems.com/medical-forms.com,28,Yes,HIPAA-Amendment-of-Health-Information,"<b>HIPAA - Amendment of Health Information:</b>
The patient who requests that an amendment be made to his record will be asked to complete this request. It contains all elements necessary for the provider to make a decision to grant or deny the request. The form is retained in the patient's medical record.
<b>Format:</b>
8.5"" x 11"", 1 Part with black ink- Blue ""Void"" security background. 5 hole punch left and 2 top for insertion in charts. Packaged in 100'S",,HIPAA - Amendment of Health Information,HIPAA - Amendment of Health Information,,Yes,Products only,,Yes,,,No layout updates,
HIPAA - Notice Of Privacy Practices,databusinesssystems.com/medical-forms.com,29,Yes,HIPAA-Notice-Of-Privacy-Practices,"<b>Written Notice of Privacy Practices</b> must be provided to patients on or before the first encounter and to other persons upon request. 
The Notice notifies the patient of all uses and disclosures of his or her protected health information. In addition, this form has a removable label that provides practices with a written acknowledgement that the patient received the Privacy Notice, as required to be HIPAA compliant.
This is a 6 Part Form - 8.5"" X 11 5/8"". 
Printed both sides. Contains a peel off label with a green background.
",,HIPAA - Notice Of Privacy Practices,HIPAA - Notice Of Privacy Practices,,Yes,Products only,,Yes,,,No layout updates,
HIPAA - PHI Access Log,databusinesssystems.com/medical-forms.com,30,Yes,HIPAA-PHI-Access-Log,"<b>HIPAA - PHI Access Log:</b>
Allows you to track ""uses"" of PHI in each individual patient medical record. Form includes date, name and title of employee accessing the patient medical record and the reason for access.
<b>Format:</b>
8.5"" x 11"", 1 Part with black ink- Blue ""Void"" security background. 5 hole punch left and 2 top for insertion in charts. Packaged in 250's
",,HIPAA - PHI Access Log,HIPAA - PHI Access Log,,Yes,Products only,,Yes,,,No layout updates,
